course_number,title,department,hours_lecture,hours_lab,hours_recitation,hours_total_credit,typical_scheduling,description,prerequisites_text_raw,must_have_prerequisites_array,optional_prerequisites_array,course_text,topic_outline,url
1113,,MATH,3,0.0,2.0,4.0,"Every semesterAnalytic geometry, the function concept, polynomials, exponential, logarithms, trigonometric functions, mathematical induction, the theory of equations",,Math 1111 with a minimum grade of D or Math SAT Section Score (new SAT) of 530 or ACT score of 21.,[],[],"Precalculus: A Unit Circle Approach, 3rd edition, by Ratti, McWaters, and Skrzypek",[],https://math.gatech.edu/courses/math/1113
1111,,MATH,4,0.0,0.0,4.0,"Every semesterStudy of the properties of algebraic, exponential, and logarithmic functions as needed for pre-calculus and calculus",,None.,[],[],College Algebra by Robert Blitzer,[],https://math.gatech.edu/courses/math/1111
1503,,MATH,3,0.0,2.0,4.0,"Every Fall SemesterSingle variable differential and integral calculus: sequences and difference equations, limit and continuity, differentiation and integration and applications",The topics covered parallel those of MATH 1501 but the applications and examples are drawn from life sciences instead of physical sciences.,"Math SAT score 600 or higher, or converted ACT Math 600 or higher, or MATH 1113 Precalculus minimum grade of D.",[],['MATH 1113'],"The text book to be followed is one such as Calculus for Biology and Medicine, by Neuhauser (Third Edition); Pearson Education, Inc., 2010.",[],https://math.gatech.edu/courses/math/1503
1501,,MATH,3,0.0,2.0,4.0,Not offered after Summer 2015See MATH 1551 and new math core for Fall 2015,"Differential calculus and basic integral calculus including the fundamental theorem of calculus, including the underlying theory of limits for functions and sequences.","Math SAT score of 600 or higher, or MATH 1113 Precalculus.
New Math Core Fall 2015.",[],['MATH 1113'],"Thomas' Calculus (Early Transcendentals), 13th Edition, Pearson.
Flow chart describing textbook choices for fall 2015.",[],https://math.gatech.edu/courses/math/1501
1504,,MATH,3,0.0,2.0,4.0,"Every Spring SemesterTaylor approximations, introduction to differential equations, linear algebra and introduction to multivariable calculus",Motivating examples drawn from life sciences.,MATH 1503 or MATH 1501 or MATH 1511 or MATH 15X1.,[],"['MATH 1503', 'MATH 1501', 'MATH 1511']","The text book to be followed is one such as Calculus for Biology and Medicine, by Neuhauser (Third Edition); Pearson Education, Inc., 2010",[],https://math.gatech.edu/courses/math/1504
1512,,MATH,3,0.0,2.0,4.0,Every fallThis course is designed for students who have had a serious single variable calculus course in high school,,"HP Section - for Honors Program students only
Non-HP Section - AP Calculus BC score of 5, must apply in July",[],[],TBA,[],https://math.gatech.edu/courses/math/1512
1551,,MATH,2,0.0,1.0,2.0,Every SemesterDifferential calculus including applications and the underlying theory of limits for functions and sequences,,Math SAT Section Score (new SAT) of 620 or ACT 26 or ACT equivalent 600 or MATH 1113 Precalculus.,[],['MATH 1113'],"Thomas, Calculus: Early Transcendentals, (14th ed.)
Flow chart describing textbook choices for Fall 2019.",[],https://math.gatech.edu/courses/math/1551
1550,,MATH,3,0.0,0.0,3.0,Every SummerAn introduction to differential calculus including the theory of limits for functions and sequences (only for Summer Freshmen),,SAT Math score of 600 or Math SAT Section Score (new SAT) of 620 or ACT 26 or ACT equivalent 600 or MATH 1113 Precalculus.,[],['MATH 1113'],"Thomas, Calculus: Early Transcendentals, (14th ed.)",[],https://math.gatech.edu/courses/math/1550
1552,,MATH,3,0.0,2.0,4.0,"Every SemesterDefinite and indefinite integrals, techniques of integration, improper integrals, infinite series, applications",,MATH 1550 or MATH 1551 or MATH 1501 or MATH 15X1 or MATH 1X51.,[],"['MATH 1550', 'MATH 1551', 'MATH 1501']","Thomas, Calculus: Early Transcendentals, (14th ed.)
Flow chart describing textbook choices for Fall 2019.",[],https://math.gatech.edu/courses/math/1552
1553,,MATH,2,0.0,1.0,2.0,"Every SemesterAn introduction to linear algebra through eigenvalues and eigenvectors, applications to linear systems, least squares",,"Math SAT Section Score (new SAT) of 620 or ACT 26 or ACT equivalent 600 or MATH 1113 Precalculus or 15X2 or 1X52 or MATH 1552 Integral Calculus.
MATH 1553, MATH 1554, and MATH 1564 are equivalent and only one can be taken for credit.",[],"['MATH 1113', 'MATH 1552', 'MATH 1553', 'MATH 1554', 'MATH 1564']","Linear Algebra and Its Applications, 5th Edition, by David C. Lay.
Flow chart describing textbook choices for Fall 2019.",[],https://math.gatech.edu/courses/math/1553
